lsoa11cd,lsoa11nm,lsoa11_onsnm,lanm,imdrank,imddecile
W01001404,Pontllanfraith 4,Caerphilly 011D,Caerphilly,1752,10
W01001405,Pontllanfraith 5,Caerphilly 011E,Caerphilly,621,4
W01001406,Pontlottyn,Caerphilly 001D,Caerphilly,307,2
W01001407,Risca East 1,Caerphilly 016A,Caerphilly,1152,7
W01001408,Risca East 2,Caerphilly 016B,Caerphilly,426,3
W01001409,Risca East 3,Caerphilly 016C,Caerphilly,1320,7
W01001410,Risca East 4,Caerphilly 016D,Caerphilly,589,4
W01001411,Risca West 1,Caerphilly 017A,Caerphilly,761,4
W01001412,Risca West 2,Caerphilly 017B,Caerphilly,870,5
W01001413,Risca West 3,Caerphilly 017C,Caerphilly,613,4
W01001414,St. Cattwg 1,Caerphilly 008A,Caerphilly,213,2
W01001415,St. Cattwg 2,Caerphilly 008B,Caerphilly,616,4
W01001416,St. Cattwg 3,Caerphilly 008C,Caerphilly,963,6
W01001417,St. Cattwg 4,Caerphilly 008D,Caerphilly,1404,8
W01001418,St. Cattwg 5,Caerphilly 008E,Caerphilly,368,2
W01001419,St. James 1,Caerphilly 021D,Caerphilly,1086,6
W01001420,St. James 2,Caerphilly 022D,Caerphilly,1308,7
W01001421,St. James 3,Caerphilly 022E,Caerphilly,1,1
W01001422,St. James 4,Caerphilly 022F,Caerphilly,107,1
W01001423,St. Martins 1,Caerphilly 024B,Caerphilly,1470,8
W01001424,St. Martins 2,Caerphilly 024C,Caerphilly,758,4
W01001425,St. Martins 3,Caerphilly 024D,Caerphilly,1271,7
W01001426,St. Martins 4,Caerphilly 024E,Caerphilly,1753,10
W01001427,St. Martins 5,Caerphilly 024F,Caerphilly,1878,10
W01001428,Twyn Carno 1,Caerphilly 001E,Caerphilly,7,1
W01001429,Twyn Carno 2,Caerphilly 001F,Caerphilly,605,4
W01001430,Ynysddu 1,Caerphilly 015B,Caerphilly,532,3
W01001431,Ynysddu 2,Caerphilly 015C,Caerphilly,955,5
W01001432,Ystrad Mynach 1,Caerphilly 013D,Caerphilly,905,5
W01001433,Ystrad Mynach 2,Caerphilly 013E,Caerphilly,725,4
W01001434,Ystrad Mynach 3,Caerphilly 013F,Caerphilly,1549,9
W01001435,Abertillery 1,Blaenau Gwent 008A,Blaenau Gwent,457,3
W01001436,Abertillery 2,Blaenau Gwent 008B,Blaenau Gwent,344,2
W01001437,Abertillery 3,Blaenau Gwent 008C,Blaenau Gwent,798,5
W01001438,Badminton 1,Blaenau Gwent 004A,Blaenau Gwent,603,4
W01001439,Badminton 2,Blaenau Gwent 004B,Blaenau Gwent,978,6
W01001440,Beaufort 1,Blaenau Gwent 001A,Blaenau Gwent,577,4
W01001441,Beaufort 2,Blaenau Gwent 001B,Blaenau Gwent,134,1
W01001442,Beaufort 3,Blaenau Gwent 001C,Blaenau Gwent,1257,7
W01001443,Blaina 1,Blaenau Gwent 005A,Blaenau Gwent,308,2
W01001444,Blaina 2,Blaenau Gwent 005B,Blaenau Gwent,480,3
W01001445,Blaina 3,Blaenau Gwent 005C,Blaenau Gwent,606,4
W01001446,Brynmawr 1,Blaenau Gwent 002A,Blaenau Gwent,945,5
W01001447,Brynmawr 2,Blaenau Gwent 002B,Blaenau Gwent,241,2
W01001448,Brynmawr 3,Blaenau Gwent 002C,Blaenau Gwent,541,3
W01001449,Brynmawr 4,Blaenau Gwent 002D,Blaenau Gwent,530,3
W01001450,Cwm 1,Blaenau Gwent 007A,Blaenau Gwent,568,3
W01001451,Cwm 2,Blaenau Gwent 007B,Blaenau Gwent,237,2
W01001452,Cwm 3,Blaenau Gwent 007C,Blaenau Gwent,994,6
W01001453,Cwmtillery 1,Blaenau Gwent 008D,Blaenau Gwent,170,1
W01001454,Cwmtillery 2,Blaenau Gwent 008E,Blaenau Gwent,515,3
W01001455,Cwmtillery 3,Blaenau Gwent 008F,Blaenau Gwent,453,3
W01001456,Ebbw Vale North 1,Blaenau Gwent 004C,Blaenau Gwent,330,2
W01001457,Ebbw Vale North 2,Blaenau Gwent 004D,Blaenau Gwent,68,1
W01001458,Ebbw Vale North 3,Blaenau Gwent 004E,Blaenau Gwent,1034,6
W01001459,Ebbw Vale South 1,Blaenau Gwent 007D,Blaenau Gwent,76,1
W01001460,Ebbw Vale South 2,Blaenau Gwent 007E,Blaenau Gwent,556,3
W01001461,Ebbw Vale South 3,Blaenau Gwent 007F,Blaenau Gwent,555,3
W01001462,Georgetown 1,Blaenau Gwent 006A,Blaenau Gwent,630,4
W01001463,Georgetown 2,Blaenau Gwent 006B,Blaenau Gwent,1133,6
W01001464,Llanhilleth 1,Blaenau Gwent 009A,Blaenau Gwent,165,1
W01001465,Llanhilleth 2,Blaenau Gwent 009B,Blaenau Gwent,263,2
W01001466,Llanhilleth 3,Blaenau Gwent 009C,Blaenau Gwent,365,2
W01001467,Nantyglo 1,Blaenau Gwent 005D,Blaenau Gwent,221,2
W01001468,Nantyglo 2,Blaenau Gwent 005E,Blaenau Gwent,255,2
W01001469,Nantyglo 3,Blaenau Gwent 005F,Blaenau Gwent,111,1
W01001470,Rassau 1,Blaenau Gwent 001D,Blaenau Gwent,1049,6
W01001471,Rassau 2,Blaenau Gwent 001E,Blaenau Gwent,132,1
W01001472,Sirhowy 1,Blaenau Gwent 003A,Blaenau Gwent,995,6
W01001473,Sirhowy 2,Blaenau Gwent 003B,Blaenau Gwent,16,1
W01001474,Sirhowy 3,Blaenau Gwent 003C,Blaenau Gwent,375,2
W01001475,Sirhowy 4,Blaenau Gwent 003D,Blaenau Gwent,787,5
W01001476,Six Bells 1,Blaenau Gwent 009D,Blaenau Gwent,290,2
W01001477,Six Bells 2,Blaenau Gwent 009E,Blaenau Gwent,773,5
W01001478,Tredegar Central and West 1,Blaenau Gwent 006C,Blaenau Gwent,795,5
W01001479,Tredegar Central and West 2,Blaenau Gwent 006D,Blaenau Gwent,18,1
W01001480,Tredegar Central and West 3,Blaenau Gwent 003E,Blaenau Gwent,167,1
W01001481,Tredegar Central and West 4,Blaenau Gwent 006E,Blaenau Gwent,186,1
W01001482,Abersychan 1,Torfaen 002A,Torfaen,282,2
W01001483,Abersychan 2,Torfaen 002B,Torfaen,199,2
W01001484,Abersychan 3,Torfaen 002C,Torfaen,1304,7
W01001485,Abersychan 4,Torfaen 002D,Torfaen,413,3
W01001486,Abersychan 5,Torfaen 002E,Torfaen,853,5
W01001487,Blaenavon 1,Torfaen 001A,Torfaen,685,4
W01001488,Blaenavon 2,Torfaen 001B,Torfaen,196,2
W01001489,Blaenavon 3,Torfaen 001C,Torfaen,573,3
W01001490,Blaenavon 4,Torfaen 001D,Torfaen,1336,7
W01001491,Brynwern,Torfaen 004A,Torfaen,441,3
W01001492,Coed Eva,Torfaen 012A,Torfaen,1101,6
W01001493,Croesyceiliog North 1,Torfaen 008A,Torfaen,886,5
W01001494,Croesyceiliog North 2,Torfaen 008B,Torfaen,1580,9
W01001495,Croesyceiliog South,Torfaen 008C,Torfaen,1414,8
W01001496,Cwmyniscoy,Torfaen 004B,Torfaen,242,2
W01001497,Fairwater (Torfaen) 1,Torfaen 011A,Torfaen,517,3
W01001498,Fairwater (Torfaen) 2,Torfaen 011B,Torfaen,406,3
W01001499,Fairwater (Torfaen) 3,Torfaen 011C,Torfaen,1345,8
W01001500,Fairwater (Torfaen) 4,Torfaen 011D,Torfaen,1454,8
W01001501,Greenmeadow 1,Torfaen 009A,Torfaen,350,2
W01001502,Greenmeadow 2,Torfaen 011E,Torfaen,1627,9
W01001503,Greenmeadow 3,Torfaen 009B,Torfaen,257,2
W01001504,Llantarnam 1,Torfaen 013A,Torfaen,771,5
W01001505,Llantarnam 2,Torfaen 013B,Torfaen,1358,8
W01001506,Llantarnam 3,Torfaen 010A,Torfaen,273,2
W01001507,Llanyrafon North,Torfaen 008D,Torfaen,1286,7
W01001508,Llanyrafon South 1,Torfaen 013C,Torfaen,1499,8
W01001509,Llanyrafon South 2,Torfaen 013D,Torfaen,1841,10
W01001510,New Inn 1,Torfaen 005A,Torfaen,1008,6
W01001511,New Inn 2,Torfaen 005B,Torfaen,1006,6
W01001512,New Inn 3,Torfaen 005C,Torfaen,1836,10
W01001513,New Inn 4,Torfaen 005D,Torfaen,1754,10
W01001514,Panteg 1,Torfaen 006A,Torfaen,1529,9
W01001515,Panteg 2,Torfaen 006B,Torfaen,1223,7
W01001516,Panteg 3,Torfaen 006C,Torfaen,399,3
W01001517,Panteg 4,Torfaen 006D,Torfaen,1467,8
W01001518,Panteg 5,Torfaen 006E,Torfaen,1604,9
W01001519,Pontnewydd 1,Torfaen 007A,Torfaen,138,1
W01001520,Pontnewydd 2,Torfaen 007B,Torfaen,983,6
W01001521,Pontnewydd 3,Torfaen 007C,Torfaen,682,4
W01001522,Pontnewydd 4,Torfaen 007D,Torfaen,645,4
W01001523,Pontnewynydd,Torfaen 004C,Torfaen,753,4
W01001524,Pontypool,Torfaen 004D,Torfaen,641,4
W01001525,St. Cadocs and Penygarn,Torfaen 003A,Torfaen,314,2
W01001526,St. Dials 1,Torfaen 010B,Torfaen,226,2
W01001527,St. Dials 2,Torfaen 010C,Torfaen,491,3
W01001528,St. Dials 3,Torfaen 010D,Torfaen,688,4
W01001529,Snatchwood,Torfaen 003B,Torfaen,364,2
W01001530,Trevethin 1,Torfaen 003C,Torfaen,35,1
W01001531,Trevethin 2,Torfaen 003D,Torfaen,402,3
W01001532,Two Locks 1,Torfaen 010E,Torfaen,274,2
W01001533,Two Locks 2,Torfaen 012B,Torfaen,1741,10
W01001534,Two Locks 3,Torfaen 012C,Torfaen,986,6
W01001535,Two Locks 4,Torfaen 012D,Torfaen,1136,6
W01001536,Upper Cwmbran 1,Torfaen 009C,Torfaen,78,1
W01001537,Upper Cwmbran 2,Torfaen 007E,Torfaen,1523,8
W01001538,Upper Cwmbran 3,Torfaen 009D,Torfaen,243,2
W01001539,Upper Cwmbran 4,Torfaen 009E,Torfaen,526,3
W01001540,Wainfelin 1,Torfaen 004E,Torfaen,1377,8
W01001541,Wainfelin 2,Torfaen 004F,Torfaen,665,4
W01001542,Caerwent,Monmouthshire 009A,Monmouthshire,1481,8
W01001543,Caldicot Castle 1,Monmouthshire 009B,Monmouthshire,1813,10
W01001545,Cantref 1,Monmouthshire 001A,Monmouthshire,1686,9
W01001546,Cantref 2,Monmouthshire 002A,Monmouthshire,404,3
W01001548,Crucorney,Monmouthshire 001B,Monmouthshire,1217,7
W01001549,Devauden,Monmouthshire 007A,Monmouthshire,1638,9
W01001551,Dewstow & Green Lane 2,Monmouthshire 010C,Monmouthshire,810,5
W01001552,Dixton with Osbaston,Monmouthshire 004A,Monmouthshire,1861,10
W01001553,Drybridge 1,Monmouthshire 004B,Monmouthshire,1382,8
W01001554,Drybridge 2,Monmouthshire 004C,Monmouthshire,1550,9
W01001555,Goetre Fawr 1,Monmouthshire 006A,Monmouthshire,1712,9
W01001556,Goetre Fawr 2,Monmouthshire 006B,Monmouthshire,1065,6
W01001557,Grofield,Monmouthshire 001C,Monmouthshire,803,5
W01001558,Lansdown,Monmouthshire 002C,Monmouthshire,739,4
W01001559,Larkfield,Monmouthshire 008A,Monmouthshire,1449,8
W01001560,Llanbadoc,Monmouthshire 006C,Monmouthshire,1546,9
W01001561,Llanelly Hill 1,Monmouthshire 003A,Monmouthshire,1855,10
W01001562,Llanelly Hill 2,Monmouthshire 003B,Monmouthshire,914,5
W01001563,Llanelly Hill 3,Monmouthshire 003C,Monmouthshire,1463,8
W01001564,Castle & Llanfoist Fawr,Monmouthshire 003D,Monmouthshire,1042,6
W01001565,Llangybi Fawr,Monmouthshire 006D,Monmouthshire,1524,8
W01001566,Llanover 1,Monmouthshire 005A,Monmouthshire,854,5
W01001567,Llanover 2,Monmouthshire 005B,Monmouthshire,1120,6
W01001568,Llantilio Crossenny,Monmouthshire 005C,Monmouthshire,1328,7
W01001569,Llanwenarth Ultra,Monmouthshire 003E,Monmouthshire,1350,8
W01001571,Mardy 2,Monmouthshire 001D,Monmouthshire,1253,7
W01001572,Mill 1,Monmouthshire 011A,Monmouthshire,1562,9
W01001573,Mill 2,Monmouthshire 011B,Monmouthshire,1767,10
W01001574,Mill 3,Monmouthshire 011C,Monmouthshire,1757,10
W01001575,Mitchel Troy,Monmouthshire 005D,Monmouthshire,1528,8
W01001576,Overmonnow 1,Monmouthshire 004D,Monmouthshire,1230,7
W01001577,Overmonnow 2,Monmouthshire 004E,Monmouthshire,410,3
W01001578,Portskewett,Monmouthshire 009C,Monmouthshire,1675,9
W01001579,Priory 1,Monmouthshire 001E,Monmouthshire,1281,7
W01001580,Priory 2,Monmouthshire 002E,Monmouthshire,932,5
W01001581,Raglan,Monmouthshire 005E,Monmouthshire,1603,9
W01001582,Rogiet,Monmouthshire 011D,Monmouthshire,1451,8
W01001583,St. Arvans,Monmouthshire 007B,Monmouthshire,1437,8
W01001584,St. Christopher's,Monmouthshire 008B,Monmouthshire,1193,7
W01001585,St. Kingsmark 1,Monmouthshire 007C,Monmouthshire,1909,10
W01001586,St. Kingsmark 2,Monmouthshire 007D,Monmouthshire,1892,10
W01001587,St. Mary's,Monmouthshire 008C,Monmouthshire,989,6
W01001588,Severn 1,Monmouthshire 010D,Monmouthshire,1556,9
W01001589,Severn 2,Monmouthshire 010E,Monmouthshire,765,5
W01001590,Shirenewton,Monmouthshire 009D,Monmouthshire,1682,9
W01001591,The Elms,Monmouthshire 011E,Monmouthshire,1848,10
W01001592,Thornwell 1,Monmouthshire 008D,Monmouthshire,450,3
W01001593,Thornwell 2,Monmouthshire 008E,Monmouthshire,1139,6
W01001594,Trellech United 1,Monmouthshire 007E,Monmouthshire,1194,7
W01001595,Trellech United 2,Monmouthshire 007F,Monmouthshire,1616,9
W01001596,Usk 1,Monmouthshire 006E,Monmouthshire,1571,9
W01001597,Usk 2,Monmouthshire 006F,Monmouthshire,1808,10
W01001598,West End,Monmouthshire 010F,Monmouthshire,601,4
W01001599,Wyesham,Monmouthshire 004F,Monmouthshire,1087,6
W01001600,Allt-yr-yn 1,Newport 012A,Newport,1756,10
W01001601,Allt-yr-yn 2,Newport 006A,Newport,327,2
W01001602,Allt-yr-yn 3,Newport 012B,Newport,1857,10
W01001603,Allt-yr-yn 4,Newport 012C,Newport,865,5
W01001604,Allt-yr-yn 5,Newport 012D,Newport,1769,10
W01001605,Allt-yr-yn 6,Newport 014A,Newport,607,4
W01001606,Alway 1,Newport 008A,Newport,1607,9
W01001607,Alway 2,Newport 015A,Newport,36,1
W01001608,Alway 3,Newport 008B,Newport,1478,8
W01001609,Alway 4,Newport 015B,Newport,69,1
W01001610,Alway 5,Newport 015C,Newport,587,4
W01001611,Alway 6,Newport 011A,Newport,838,5
W01001612,Beechwood 1,Newport 011B,Newport,845,5
W01001613,Beechwood 2,Newport 011C,Newport,1227,7
W01001614,Beechwood 3,Newport 005A,Newport,289,2
W01001615,Beechwood 4,Newport 005B,Newport,1003,6
W01001616,Beechwood 5,Newport 005C,Newport,1508,8
W01001617,Bettws (Newport) 1,Newport 003A,Newport,77,1
W01001618,Bettws (Newport) 2,Newport 003B,Newport,222,2
W01001619,Bettws (Newport) 3,Newport 003C,Newport,118,1
W01001620,Bettws (Newport) 4,Newport 003D,Newport,281,2
W01001621,Bettws (Newport) 5,Newport 003E,Newport,159,1
W01001622,Bettws (Newport) 6,Newport 003F,Newport,642,4
W01001623,Caerleon 1,Newport 001A,Newport,1590,9
W01001624,Caerleon 2,Newport 001B,Newport,1764,10
W01001625,Caerleon 3,Newport 001C,Newport,1662,9
W01001626,Caerleon 4,Newport 001D,Newport,1391,8
W01001627,Caerleon 5,Newport 001E,Newport,1722,10
W01001628,Caerleon 6,Newport 001F,Newport,738,4
W01001629,Gaer 1,Newport 017A,Newport,1177,7
W01001630,Gaer 2,Newport 017B,Newport,390,3
W01001631,Gaer 3,Newport 017C,Newport,1564,9
W01001632,Gaer 4,Newport 017D,Newport,569,3
W01001633,Gaer 5,Newport 019A,Newport,211,2
W01001634,Gaer 6,Newport 019B,Newport,434,3
W01001635,Graig (Newport) 1,Newport 016A,Newport,1730,10
W01001636,Graig (Newport) 2,Newport 020A,Newport,1731,10
W01001637,Graig (Newport) 3,Newport 016B,Newport,1617,9
W01001638,Graig (Newport) 4,Newport 016C,Newport,1835,10
W01001639,Langstone 1,Newport 004A,Newport,1766,10
W01001640,Langstone 2,Newport 004B,Newport,1629,9
W01001641,Langstone 3,Newport 004C,Newport,1609,9
W01001642,Liswerry 1,Newport 013A,Newport,304,2
W01001643,Liswerry 2,Newport 013B,Newport,183,1
W01001644,Liswerry 3,Newport 013C,Newport,770,5
W01001645,Liswerry 4,Newport 015D,Newport,538,3
W01001646,Liswerry 5,Newport 015E,Newport,223,2
W01001647,Liswerry 6,Newport 015F,Newport,784,5
W01001648,Liswerry 7,Newport 015G,Newport,893,5
W01001649,Llanwern 1,Newport 004D,Newport,918,5
W01001650,Llanwern 2,Newport 004E,Newport,629,4
W01001651,Malpas 1,Newport 002A,Newport,1827,10
W01001652,Malpas 2,Newport 002B,Newport,114,1
W01001653,Malpas 3,Newport 002C,Newport,1702,9
W01001654,Malpas 4,Newport 002D,Newport,1491,8
W01001655,Malpas 5,Newport 002E,Newport,1668,9
W01001657,Marshfield 2,Newport 020C,Newport,1790,10
W01001658,Marshfield 3,Newport 020D,Newport,1606,9
W01001659,Pillgwenlly 1,Newport 018A,Newport,12,1
W01001660,Pillgwenlly 2,Newport 018B,Newport,202,2
W01001661,Pillgwenlly 3,Newport 018C,Newport,93,1
W01001662,Pillgwenlly 4,Newport 018D,Newport,10,1
W01001663,Ringland 1,Newport 008C,Newport,443,3
W01001664,Ringland 2,Newport 010A,Newport,205,2
W01001665,Ringland 3,Newport 008D,Newport,637,4
W01001666,Ringland 4,Newport 010B,Newport,130,1
W01001667,Ringland 5,Newport 010C,Newport,74,1
W01001668,Ringland 6,Newport 010D,Newport,200,2
W01001669,Rogerstone 1,Newport 009A,Newport,1870,10
W01001670,Rogerstone 2,Newport 009B,Newport,1797,10
W01001671,Rogerstone 3,Newport 016D,Newport,675,4
W01001672,Rogerstone 4,Newport 009C,Newport,1346,8
W01001673,Rogerstone 5,Newport 009D,Newport,1840,10
W01001674,Rogerstone 6,Newport 009E,Newport,1225,7
W01001675,St. Julians 1,Newport 007A,Newport,1026,6
W01001676,St. Julians 2,Newport 007B,Newport,481,3
W01001677,St. Julians 3,Newport 007C,Newport,1460,8
W01001678,St. Julians 4,Newport 005D,Newport,511,3
W01001679,St. Julians 5,Newport 007D,Newport,1572,9
W01001680,St. Julians 6,Newport 007E,Newport,1040,6
W01001681,Shaftesbury 1,Newport 006B,Newport,227,2
W01001682,Shaftesbury 2,Newport 006C,Newport,602,4
W01001683,Shaftesbury 3,Newport 006D,Newport,1091,6
W01001684,Shaftesbury 4,Newport 006E,Newport,1074,6
W01001685,Stow Hill 1,Newport 014B,Newport,427,3
W01001686,Stow Hill 2,Newport 014C,Newport,708,4
W01001687,Stow Hill 3,Newport 014D,Newport,156,1
W01001688,Tredegar Park 1,Newport 019C,Newport,615,4
W01001689,Tredegar Park 2,Newport 019D,Newport,42,1
W01001690,Victoria 1,Newport 013D,Newport,378,2
W01001691,Victoria 2,Newport 011D,Newport,259,2
W01001692,Victoria 3,Newport 011E,Newport,265,2
W01001693,Victoria 4,Newport 013E,Newport,228,2
W01001694,Adamsdown 1,Cardiff 036A,Cardiff,129,1
W01001695,Adamsdown 2,Cardiff 036B,Cardiff,412,3
W01001696,Adamsdown 3,Cardiff 036C,Cardiff,53,1
W01001697,Adamsdown 4,Cardiff 036D,Cardiff,279,2
W01001698,Adamsdown 5,Cardiff 036E,Cardiff,191,1
W01001699,Butetown 1,Cardiff 049A,Cardiff,87,1
W01001702,Caerau (Cardiff) 1,Cardiff 045A,Cardiff,524,3
W01001703,Caerau (Cardiff) 2,Cardiff 045B,Cardiff,65,1
W01001704,Caerau (Cardiff) 3,Cardiff 041A,Cardiff,40,1
W01001705,Caerau (Cardiff) 4,Cardiff 045C,Cardiff,286,2
W01001706,Caerau (Cardiff) 5,Cardiff 041B,Cardiff,510,3
W01001707,Caerau (Cardiff) 6,Cardiff 041C,Cardiff,120,1
W01001708,Caerau (Cardiff) 7,Cardiff 045D,Cardiff,63,1
W01001709,Canton 1,Cardiff 040A,Cardiff,716,4
W01001710,Canton 2,Cardiff 040B,Cardiff,878,5
W01001711,Canton 3,Cardiff 040C,Cardiff,384,3
W01001712,Canton 4,Cardiff 040D,Cardiff,1102,6
W01001713,Canton 5,Cardiff 040E,Cardiff,705,4
W01001714,Canton 6,Cardiff 035A,Cardiff,1725,10
W01001715,Canton 7,Cardiff 035B,Cardiff,1576,9
W01001716,Canton 8,Cardiff 035C,Cardiff,1252,7
W01001717,Canton 9,Cardiff 035D,Cardiff,817,5
W01001718,Cathays 1,Cardiff 028A,Cardiff,1134,6
W01001719,Cathays 2,Cardiff 028B,Cardiff,1653,9
W01001720,Cathays 3,Cardiff 028C,Cardiff,950,5
W01001721,Cathays 4,Cardiff 032A,Cardiff,1369,8
W01001722,Cathays 5,Cardiff 028D,Cardiff,1179,7
W01001724,Cathays 6,Cardiff 032C,Cardiff,1366,8
W01001725,Cathays 7,Cardiff 032D,Cardiff,1483,8
W01001726,Cathays 8,Cardiff 028E,Cardiff,1130,6
W01001727,Creigiau/St. Fagans 1,Cardiff 014A,Cardiff,1748,10
W01001728,Creigiau/St. Fagans 2,Cardiff 014B,Cardiff,1887,10
W01001729,Creigiau/St. Fagans 3,Cardiff 014C,Cardiff,1715,9
W01001730,Cyncoed 1,Cardiff 008A,Cardiff,1907,10
W01001731,Cyncoed 2,Cardiff 008B,Cardiff,1902,10
W01001732,Cyncoed 3,Cardiff 019A,Cardiff,1860,10
W01001733,Cyncoed 4,Cardiff 019B,Cardiff,1865,10
W01001734,Cyncoed 5,Cardiff 019C,Cardiff,1875,10
W01001735,Cyncoed 6,Cardiff 019D,Cardiff,1822,10
W01001736,Cyncoed 7,Cardiff 008C,Cardiff,1903,10
W01001737,Ely 1,Cardiff 039A,Cardiff,47,1
W01001738,Ely 2,Cardiff 039B,Cardiff,39,1
W01001739,Ely 3,Cardiff 039C,Cardiff,46,1
W01001740,Ely 4,Cardiff 039D,Cardiff,31,1
W01001741,Ely 5,Cardiff 039E,Cardiff,24,1
W01001742,Ely 6,Cardiff 043A,Cardiff,58,1
W01001743,Ely 7,Cardiff 043B,Cardiff,1588,9
W01001744,Ely 8,Cardiff 043C,Cardiff,101,1
W01001745,Ely 9,Cardiff 043D,Cardiff,1633,9
W01001746,Ely 10,Cardiff 041D,Cardiff,151,1
W01001747,Fairwater (Cardiff) 1,Cardiff 027A,Cardiff,1393,8
W01001748,Fairwater (Cardiff) 2,Cardiff 027B,Cardiff,445,3
W01001749,Fairwater (Cardiff) 3,Cardiff 027C,Cardiff,583,4
W01001750,Fairwater (Cardiff) 4,Cardiff 031A,Cardiff,300,2
W01001751,Fairwater (Cardiff) 5,Cardiff 027D,Cardiff,232,2
W01001752,Fairwater (Cardiff) 6,Cardiff 031B,Cardiff,1465,8
W01001753,Fairwater (Cardiff) 7,Cardiff 031C,Cardiff,144,1
W01001754,Fairwater (Cardiff) 8,Cardiff 031D,Cardiff,1224,7
W01001755,Gabalfa 1,Cardiff 025A,Cardiff,1501,8
W01001756,Gabalfa 2,Cardiff 025B,Cardiff,985,6
W01001757,Gabalfa 3,Cardiff 025C,Cardiff,1426,8
W01001758,Gabalfa 4,Cardiff 025D,Cardiff,1490,8
W01001759,Grangetown 1,Cardiff 046A,Cardiff,825,5
W01001760,Grangetown 2,Cardiff 046B,Cardiff,490,3
W01001761,Grangetown 3,Cardiff 046C,Cardiff,275,2
W01001762,Grangetown 4,Cardiff 046D,Cardiff,48,1
W01001764,Grangetown 5,Cardiff 044A,Cardiff,420,3
W01001765,Grangetown 6,Cardiff 044B,Cardiff,345,2
W01001766,Grangetown 7,Cardiff 044C,Cardiff,329,2
W01001767,Grangetown 8,Cardiff 044D,Cardiff,388,3
W01001768,Grangetown 9,Cardiff 044E,Cardiff,247,2
W01001769,Heath 1,Cardiff 018A,Cardiff,1905,10
W01001770,Heath 2,Cardiff 018B,Cardiff,1534,9
W01001771,Heath 3,Cardiff 018C,Cardiff,1869,10
W01001772,Heath 4,Cardiff 021A,Cardiff,1732,10
W01001773,Heath 5,Cardiff 012A,Cardiff,1632,9
W01001774,Heath 6,Cardiff 018D,Cardiff,1884,10
W01001775,Heath 7,Cardiff 021B,Cardiff,1537,9
W01001776,Heath 8,Cardiff 021C,Cardiff,1765,10
W01001777,Lisvane 1,Cardiff 001A,Cardiff,1874,10
W01001778,Lisvane 2,Cardiff 001B,Cardiff,1886,10
W01001779,Llandaff 1,Cardiff 026A,Cardiff,1859,10
W01001780,Llandaff 2,Cardiff 026B,Cardiff,1778,10
W01001781,Llandaff 3,Cardiff 026C,Cardiff,1500,8
W01001782,Llandaff 4,Cardiff 026D,Cardiff,1814,10
W01001783,Llandaff 5,Cardiff 026E,Cardiff,1888,10
W01001784,Llandaff 6,Cardiff 026F,Cardiff,1829,10
W01001785,Llandaff North 1,Cardiff 023A,Cardiff,195,2
W01001786,Llandaff North 2,Cardiff 023B,Cardiff,879,5
W01001787,Llandaff North 3,Cardiff 023C,Cardiff,467,3
W01001788,Llandaff North 4,Cardiff 023D,Cardiff,147,1
W01001789,Llandaff North 5,Cardiff 023E,Cardiff,1486,8
W01001790,Llandaff North 6,Cardiff 023F,Cardiff,550,3
W01001791,Llanishen 1,Cardiff 005A,Cardiff,1619,9
W01001792,Llanishen 2,Cardiff 005B,Cardiff,503,3
W01001793,Llanishen 3,Cardiff 002A,Cardiff,1858,10
W01001794,Llanishen 4,Cardiff 001C,Cardiff,1863,10
W01001795,Llanishen 5,Cardiff 002B,Cardiff,1906,10
W01001796,Llanishen 6,Cardiff 002C,Cardiff,1726,10
W01001797,Llanishen 7,Cardiff 005C,Cardiff,1738,10
W01001798,Llanishen 8,Cardiff 002D,Cardiff,1833,10
W01001799,Llanishen 9,Cardiff 001D,Cardiff,1830,10
W01001800,Llanishen 10,Cardiff 005D,Cardiff,599,4
W01001802,Llanrumney 1,Cardiff 007A,Cardiff,544,3
W01001803,Llanrumney 2,Cardiff 015A,Cardiff,301,2
W01001804,Llanrumney 3,Cardiff 015B,Cardiff,419,3
W01001805,Llanrumney 4,Cardiff 015C,Cardiff,233,2
W01001806,Llanrumney 5,Cardiff 015D,Cardiff,961,6
W01001807,Llanrumney 6,Cardiff 007B,Cardiff,84,1
W01001808,Llanrumney 7,Cardiff 007C,Cardiff,89,1
W01001809,Pentwyn 1,Cardiff 017A,Cardiff,1082,6
W01001810,Pentwyn 2,Cardiff 017B,Cardiff,251,2
W01001811,Pentwyn 3,Cardiff 009A,Cardiff,73,1
W01001812,Pentwyn 4,Cardiff 017C,Cardiff,552,3
W01001813,Pentwyn 5,Cardiff 017D,Cardiff,95,1
W01001814,Pentwyn 6,Cardiff 017E,Cardiff,956,6
W01001815,Pentwyn 7,Cardiff 008D,Cardiff,1239,7
W01001816,Pentwyn 8,Cardiff 009B,Cardiff,486,3
W01001817,Pentwyn 9,Cardiff 009C,Cardiff,1183,7
W01001818,Pentwyn 10,Cardiff 009D,Cardiff,911,5
W01001819,Pentyrch 1,Cardiff 014D,Cardiff,1812,10
W01001820,Pentyrch 2,Cardiff 006A,Cardiff,1626,9
W01001821,Penylan 1,Cardiff 024A,Cardiff,1774,10
W01001822,Penylan 2,Cardiff 029A,Cardiff,1415,8
W01001823,Penylan 3,Cardiff 029B,Cardiff,1795,10
W01001824,Penylan 4,Cardiff 029C,Cardiff,988,6
W01001825,Penylan 5,Cardiff 029D,Cardiff,814,5
